ID,Target_Form_ID,Source_Form_ID,Comment,Source
87-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill,EAH-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,WOT-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,,wot
88-98_magical,EAH-98_magical-1,WOT-98_magical-1,,wot
89-99_akindofwillowsalixelgnos,EAH-99_akindofwillowsalixelgnos-1,WOT-99_akindofwillowsalixelgnos-1,,wot
90-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-1,WOT-103_trapsnareforcatchingbirdsbirdcage-1,,wot
91-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-2,WOT-103_trapsnareforcatchingbirdsbirdcage-2,,wot
92-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-3,WOT-103_trapsnareforcatchingbirdsbirdcage-3,,wot
93-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-4,WOT-103_trapsnareforcatchingbirdsbirdcage-4,,wot
94-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea,EAH-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1,WOT-104_akindofwillowusedforbasketsandinviticulturesalixpurpurea-1,,wot
95-105_akindofwillow,EAH-105_akindofwillow-1,WOT-105_akindofwillow-1,,wot
96-109_onlyjust,EAH-109_onlyjust-1,WOT-109_onlyjust-1,,wot
97-110_pickaxemaceasmallaxewarhammer,EAH-110_pickaxemaceasmallaxewarhammer-1,WOT-110_pickaxemaceasmallaxewarhammer-1,,wot
98-113_nettleurtica,EAH-113_nettleurtica-1,WOT-113_nettleurtica-1,,wot
99-113_nettleurtica,EAH-113_nettleurtica-2,WOT-113_nettleurtica-2,,wot
100-113_nettleurtica,EAH-113_nettleurtica-3,WOT-113_nettleurtica-3,,wot
101-114_thicketbrushwooddryfoliagegrovemeadow,EAH-114_thicketbrushwooddryfoliagegrovemeadow-1,WOT-114_thicketbrushwooddryfoliagegrovemeadow-1,,wot
102-115_thicketbrushwooddryfoliagegrovemeadow,EAH-115_thicketbrushwooddryfoliagegrovemeadow-1,WOT-115_thicketbrushwooddryfoliagegrovemeadow-1,,wot
103-116_silvercupwoodenladleearthenwarebowl,EAH-116_silvercupwoodenladleearthenwarebowl-1,WOT-116_silvercupwoodenladleearthenwarebowl-1,,wot
104-118_fightingtrooparmygroupbattlequarrelhubbubflock,EAH-118_fightingtrooparmygroupbattlequarrelhubbubflock-1,WOT-118_fightingtrooparmygroupbattlequarrelhubbubflock-1,,wot
105-118_fightingtrooparmygroupbattlequarrelhubbubflock,EAH-118_fightingtrooparmygroupbattlequarrelhubbubflock-2,WOT-118_fightingtrooparmygroupbattlequarrelhubbubflock-2,,wot
106-119_toaddtojointobuckleupsomething,EAH-119_toaddtojointobuckleupsomething-1,WOT-119_toaddtojointobuckleupsomething-1,,wot
107-120_clasp,EAH-120_clasp-1,WOT-120_clasp-1,,wot
108-122_measlesmallpoxpocksskineruptiondecorativeembroidery,EAH-122_measlesmallpoxpocksskineruptiondecorativeembroidery-1,WOT-122_measlesmallpoxpocksskineruptiondecorativeembroidery-1,,wot
109-122_measlesmallpoxpocksskineruptiondecorativeembroidery,EAH-122_measlesmallpoxpocksskineruptiondecorativeembroidery-2,WOT-122_measlesmallpoxpocksskineruptiondecorativeembroidery-2,,wot
110-123_tobindsomething,EAH-123_tobindsomething-1,WOT-123_tobindsomething-1,,wot
111-127_impuritiestowchaff,EAH-127_impuritiestowchaff-1,WOT-127_impuritiestowchaff-1,,wot
112-127_impuritiestowchaff,EAH-127_impuritiestowchaff-2,WOT-127_impuritiestowchaff-2,,wot
113-127_impuritiestowchaff,EAH-127_impuritiestowchaff-3,WOT-127_impuritiestowchaff-3,,wot
114-127_impuritiestowchaff,EAH-127_impuritiestowchaff-4,WOT-127_impuritiestowchaff-4,,wot
115-128_snailhelixsnailshellpulleyvertebra,EAH-128_snailhelixsnailshellpulleyvertebra-1,WOT-128_snailhelixsnailshellpulleyvertebra-1,,wot
116-130_awineoflowqualityafruitwine,EAH-130_awineoflowqualityafruitwine-1,WOT-130_awineoflowqualityafruitwine-1,,wot
117-130_awineoflowqualityafruitwine,EAH-130_awineoflowqualityafruitwine-2,WOT-130_awineoflowqualityafruitwine-2,,wot
118-131_secretionmucusdischargedfromtheeyes,EAH-131_secretionmucusdischargedfromtheeyes-1,WOT-131_secretionmucusdischargedfromtheeyes-1,,wot
119-132_squinteyedblindinoneeyeonearmedonelegged,EAH-132_squinteyedblindinoneeyeonearmedonelegged-1,WOT-132_squinteyedblindinoneeyeonearmedonelegged-1,,wot
120-133_acarpentersaxewithalonghelve,EAH-133_acarpentersaxewithalonghelve-1,WOT-133_acarpentersaxewithalonghelve-1,,wot
121-137_sexualorganoflargemaleanimalsofabullawhipmadefromit,EAH-137_sexualorganoflargemaleanimalsofabullawhipmadefromit-1,WOT-137_sexualorganoflargemaleanimalsofabullawhipmadefromit-1,,wot
122-138_feastchristeningfeastatbaptism,EAH-138_feastchristeningfeastatbaptism-1,WOT-138_feastchristeningfeastatbaptism-1,,wot
